,id,a,R_high,freq,frame,rotation
0,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr000,-0.5,1,230,0,0
1,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr001,-0.5,1,230,1,0
2,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr002,-0.5,1,230,2,0
3,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr003,-0.5,1,230,3,0
4,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr004,-0.5,1,230,4,0
5,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr005,-0.5,1,230,5,0
6,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr006,-0.5,1,230,6,0
7,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr007,-0.5,1,230,7,0
8,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr008,-0.5,1,230,8,0
9,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr009,-0.5,1,230,9,0
10,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr010,-0.5,1,230,10,0
11,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr011,-0.5,1,230,11,0
12,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr012,-0.5,1,230,12,0
13,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr013,-0.5,1,230,13,0
14,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr014,-0.5,1,230,14,0
15,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr015,-0.5,1,230,15,0
16,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr016,-0.5,1,230,16,0
17,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr017,-0.5,1,230,17,0
18,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr018,-0.5,1,230,18,0
19,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr019,-0.5,1,230,19,0
20,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr020,-0.5,1,230,20,0
21,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr021,-0.5,1,230,21,0
22,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr022,-0.5,1,230,22,0
23,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr023,-0.5,1,230,23,0
24,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr024,-0.5,1,230,24,0
25,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr025,-0.5,1,230,25,0
26,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr026,-0.5,1,230,26,0
27,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr027,-0.5,1,230,27,0
28,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr028,-0.5,1,230,28,0
29,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr029,-0.5,1,230,29,0
30,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr030,-0.5,1,230,30,0
31,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr031,-0.5,1,230,31,0
32,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr032,-0.5,1,230,32,0
33,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr033,-0.5,1,230,33,0
34,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr034,-0.5,1,230,34,0
35,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr035,-0.5,1,230,35,0
36,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr036,-0.5,1,230,36,0
37,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr037,-0.5,1,230,37,0
38,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr038,-0.5,1,230,38,0
39,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr039,-0.5,1,230,39,0
40,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr040,-0.5,1,230,40,0
41,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr041,-0.5,1,230,41,0
42,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr042,-0.5,1,230,42,0
43,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr043,-0.5,1,230,43,0
44,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr044,-0.5,1,230,44,0
45,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr045,-0.5,1,230,45,0
46,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr046,-0.5,1,230,46,0
47,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr047,-0.5,1,230,47,0
48,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr048,-0.5,1,230,48,0
49,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr049,-0.5,1,230,49,0
50,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr050,-0.5,1,230,50,0
51,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr051,-0.5,1,230,51,0
52,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr052,-0.5,1,230,52,0
53,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr053,-0.5,1,230,53,0
54,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr054,-0.5,1,230,54,0
55,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr055,-0.5,1,230,55,0
56,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr056,-0.5,1,230,56,0
57,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr057,-0.5,1,230,57,0
58,M87_SANE_a=-0.50_inc=163_Rhigh=001_freq=230_fr058,-0.5,1,230,58,0
